U:x,Points: x,Points: y,u_t,U+,y+ 
0.18542,1.99,6.92E-05,2.01E-01,0.9248,0.924738571
0.19018,1.75,6.92E-05,2.03E-01,0.9365,0.936627648
0.1957,1.5,6.92E-05,2.06E-01,0.95,0.95009843
0.20087,1.99,6.92E-05,2.09E-01,0.9625,0.962494567
0.20599,1.75,6.92E-05,2.11E-01,0.9746,0.974779868
0.21193,1.5,6.92E-05,2.14E-01,0.9886,0.988718791
0.21688,1.99,6.92E-05,2.17E-01,1.0001,1.000123067
0.22238,1.75,6.92E-05,2.20E-01,1.0127,1.012799536
0.22875,1.5,6.92E-05,2.23E-01,1.0271,1.027201223
0.23345,1.99,6.92E-05,2.25E-01,1.0376,1.037614627
0.19305,1.99,8.55E-05,1.84E-01,1.0491,1.049060669
0.23932,1.75,6.92E-05,2.28E-01,1.0505,1.050679214
0.19809,1.75,8.55E-05,1.86E-01,1.0626,1.062769009
0.24614,1.5,6.92E-05,2.31E-01,1.0654,1.065539589
0.20391,1.5,8.55E-05,1.89E-01,1.0781,1.078254078
0.21077,1.99,8.55E-05,1.92E-01,1.0962,1.096147424
0.21623,1.75,8.55E-05,1.95E-01,1.1102,1.110351916
0.22253,1.5,8.55E-05,1.98E-01,1.1262,1.126422526
0.22919,1.99,8.55E-05,2.01E-01,1.1431,1.143037293
0.23507,1.75,8.55E-05,2.03E-01,1.1575,1.15773297
0.24188,1.5,8.55E-05,2.06E-01,1.1741,1.174383736
0.24829,1.99,8.55E-05,2.09E-01,1.1897,1.189706171
0.25461,1.75,8.55E-05,2.11E-01,1.2046,1.204891606
0.26195,1.5,8.55E-05,2.14E-01,1.2219,1.222121026
0.26808,1.99,8.55E-05,2.17E-01,1.2362,1.236217455
0.27486,1.75,8.55E-05,2.20E-01,1.2516,1.2518864
0.28274,1.5,8.55E-05,2.23E-01,1.2695,1.269687826
0.23572,1.99,0.00010441,1.84E-01,1.2809,1.280916192
0.28855,1.99,8.55E-05,2.25E-01,1.2825,1.282559473
0.24187,1.75,0.00010441,1.86E-01,1.2974,1.297654247
0.29581,1.75,8.55E-05,2.28E-01,1.2985,1.298708156
0.24897,1.5,0.00010441,1.89E-01,1.3163,1.316561709
0.30424,1.5,8.55E-05,2.31E-01,1.3168,1.317076551
0.25736,1.99,0.00010441,1.92E-01,1.3385,1.338409708
0.26401,1.75,0.00010441,1.95E-01,1.3555,1.355753571
0.27171,1.5,0.00010441,1.98E-01,1.3751,1.375375986
0.27984,1.99,0.00010441,2.01E-01,1.3957,1.395662824
0.28702,1.75,0.00010441,2.03E-01,1.4133,1.413606429
0.29534,1.5,0.00010441,2.06E-01,1.4336,1.433937223
0.30316,1.99,0.00010441,2.09E-01,1.4527,1.452646107
0.31088,1.75,0.00010441,2.11E-01,1.4709,1.471187714
0.31983,1.5,0.00010441,2.14E-01,1.4919,1.49222505
0.32733,1.99,0.00010441,2.17E-01,1.5095,1.509436967
0.3356,1.75,0.00010441,2.20E-01,1.5282,1.528568944
0.28511,1.99,0.00012629,1.84E-01,1.5493,1.549343031
0.34521,1.5,0.00010441,2.23E-01,1.5499,1.550304708
0.35233,1.99,0.00010441,2.25E-01,1.566,1.56602115
0.29252,1.75,0.00012629,1.86E-01,1.5691,1.569588687
0.36117,1.75,0.00010441,2.28E-01,1.5854,1.585738894
0.30111,1.5,0.00012629,1.89E-01,1.592,1.592458368
0.37146,1.5,0.00010441,2.31E-01,1.6078,1.608166934
0.31127,1.99,0.00012629,1.92E-01,1.6188,1.6188848
0.3193,1.75,0.00012629,1.95E-01,1.6393,1.639863216
0.32861,1.5,0.00012629,1.98E-01,1.6631,1.663597676
0.33847,1.99,0.00012629,2.01E-01,1.6881,1.688135792
0.34713,1.75,0.00012629,2.03E-01,1.7093,1.709839632
0.35719,1.5,0.00012629,2.06E-01,1.7339,1.734430916
0.36667,1.99,0.00012629,2.09E-01,1.757,1.757060405
0.37598,1.75,0.00012629,2.11E-01,1.7789,1.779487563
0.38681,1.5,0.00012629,2.14E-01,1.8043,1.804933451
0.3959,1.99,0.00012629,2.17E-01,1.8257,1.825752271
0.40588,1.75,0.00012629,2.20E-01,1.8483,1.848893516
0.34225,1.99,0.00015161,1.84E-01,1.8598,1.859972261
0.4175,1.5,0.00012629,2.23E-01,1.8745,1.875184193
0.35113,1.75,0.00015161,1.86E-01,1.8835,1.884276988
0.42613,1.99,0.00012629,2.25E-01,1.8941,1.894194149
0.36144,1.5,0.00015161,1.89E-01,1.9109,1.911731832
0.4368,1.75,0.00012629,2.28E-01,1.9174,1.918043913
0.37366,1.99,0.00015161,1.92E-01,1.9433,1.943456525
0.44924,1.5,0.00012629,2.31E-01,1.9445,1.945171939
0.38327,1.75,0.00015161,1.95E-01,1.9678,1.968640924
0.39445,1.5,0.00015161,1.98E-01,1.9963,1.997133927
0.40629,1.99,0.00015161,2.01E-01,2.0263,2.026591713
0.41666,1.75,0.00015161,2.03E-01,2.0517,2.052646976
0.42874,1.5,0.00015161,2.06E-01,2.0812,2.08216859
0.44014,1.99,0.00015161,2.09E-01,2.109,2.109335086
0.45128,1.75,0.00015161,2.11E-01,2.1352,2.136258685
0.46428,1.5,0.00015161,2.14E-01,2.1657,2.166806244
0.47521,1.99,0.00015161,2.17E-01,2.1914,2.191799048
0.40835,1.99,0.00018092,1.84E-01,2.219,2.219551359
0.48715,1.75,0.00015161,2.20E-01,2.2183,2.219579903
0.41891,1.75,0.00018092,1.86E-01,2.247,2.248554796
0.5011,1.5,0.00015161,2.23E-01,2.2499,2.251141623
0.51148,1.99,0.00015161,2.25E-01,2.2734,2.273962902
0.43121,1.5,0.00018092,1.89E-01,2.2798,2.281317348
0.52425,1.75,0.00015161,2.28E-01,2.3012,2.302594328
0.4458,1.99,0.00018092,1.92E-01,2.3185,2.319175216
0.53918,1.5,0.00015161,2.31E-01,2.3337,2.335161276
0.45723,1.75,0.00018092,1.95E-01,2.3475,2.349228388
0.47056,1.5,0.00018092,1.98E-01,2.3815,2.3832298
0.48472,1.99,0.00018092,2.01E-01,2.4175,2.418382512
0.49705,1.75,0.00018092,2.03E-01,2.4475,2.449474908
0.51144,1.5,0.00018092,2.06E-01,2.4826,2.484703788
0.52506,1.99,0.00018092,2.09E-01,2.5159,2.517122246
0.53831,1.75,0.00018092,2.11E-01,2.5469,2.54925085
0.55381,1.5,0.00018092,2.14E-01,2.5833,2.585704014
0.56686,1.99,0.00018092,2.17E-01,2.614,2.615528552
0.48472,1.99,0.00021484,1.84E-01,2.634,2.635686568
0.58106,1.75,0.00018092,2.20E-01,2.646,2.64868014
0.49722,1.75,0.00021484,1.86E-01,2.6671,2.67012775
0.59768,1.5,0.00018092,2.23E-01,2.6835,2.686343529
0.5118,1.5,0.00021484,1.89E-01,2.7059,2.709032827
0.61008,1.99,0.00018092,2.25E-01,2.7117,2.713576731
0.62525,1.75,0.00018092,2.28E-01,2.7446,2.747743327
0.52913,1.99,0.00021484,1.92E-01,2.7518,2.753988522
0.64303,1.5,0.00018092,2.31E-01,2.7832,2.78660628
0.54264,1.75,0.00021484,1.95E-01,2.786,2.789676248
0.55844,1.5,0.00021484,1.98E-01,2.8262,2.830052456
0.57525,1.99,0.00021484,2.01E-01,2.869,2.871795816
0.58982,1.75,0.00021484,2.03E-01,2.9043,2.908717606
0.60687,1.5,0.00021484,2.06E-01,2.9459,2.950551413
0.62305,1.99,0.00021484,2.09E-01,2.9855,2.989047885
0.63869,1.75,0.00021484,2.11E-01,3.0218,3.027200158
0.65704,1.5,0.00021484,2.14E-01,3.0648,3.070487787
0.67253,1.99,0.00021484,2.17E-01,3.1013,3.105904014
0.57278,1.99,0.00025411,1.84E-01,3.1126,3.117456311
0.68929,1.75,0.00021484,2.20E-01,3.1388,3.145271066
0.58746,1.75,0.00025411,1.86E-01,3.1512,3.158192899
0.70896,1.5,0.00021484,2.23E-01,3.1831,3.18999582
0.60464,1.5,0.00025411,1.89E-01,3.1967,3.204209326
0.72368,1.99,0.00021484,2.25E-01,3.2166,3.222334871
0.6251,1.99,0.00025411,1.92E-01,3.251,3.257382347
0.74157,1.75,0.00021484,2.28E-01,3.2552,3.262907231
0.64097,1.75,0.00025411,1.95E-01,3.2908,3.299593332
0.7626,1.5,0.00021484,2.31E-01,3.3008,3.309056452
0.65957,1.5,0.00025411,1.98E-01,3.338,3.347349793
0.67941,1.99,0.00025411,2.01E-01,3.3885,3.396723305
0.69649,1.75,0.00025411,2.03E-01,3.4296,3.440393925
0.71655,1.5,0.00025411,2.06E-01,3.4783,3.489874417
0.73562,1.99,0.00025411,2.09E-01,3.5249,3.53540755
0.75396,1.75,0.00025411,2.11E-01,3.5672,3.58053357
0.77551,1.5,0.00025411,2.14E-01,3.6175,3.631733623
0.79376,1.99,0.00025411,2.17E-01,3.6604,3.673623482
0.67379,1.99,0.00029955,1.84E-01,3.6615,3.67492046
0.81338,1.75,0.00025411,2.20E-01,3.7039,3.720186327
0.69091,1.75,0.00029955,1.86E-01,3.7061,3.722941572
0.83646,1.5,0.00025411,2.23E-01,3.7556,3.773086193
0.711,1.5,0.00029955,1.89E-01,3.7591,3.777186666
0.85377,1.99,0.00025411,2.25E-01,3.7948,3.811336409
0.73497,1.99,0.00029955,1.92E-01,3.8224,3.839868097
0.87468,1.75,0.00025411,2.28E-01,3.8394,3.859324877
0.75344,1.75,0.00029955,1.95E-01,3.8683,3.889627259
0.89932,1.5,0.00025411,2.31E-01,3.8925,3.913909583
0.77515,1.5,0.00029955,1.98E-01,3.923,3.945923539
0.79835,1.99,0.00029955,2.01E-01,3.9817,4.004126031
0.8182,1.75,0.00029955,2.03E-01,4.0289,4.055605841
0.84157,1.5,0.00029955,2.06E-01,4.0852,4.113934444
0.86383,1.99,0.00029955,2.09E-01,4.1392,4.167609821
0.88509,1.75,0.00029955,2.11E-01,4.1876,4.220805284
0.91014,1.5,0.00029955,2.14E-01,4.2455,4.281160941
0.78849,1.99,0.00035215,1.84E-01,4.2848,4.32022447
0.93141,1.99,0.00029955,2.17E-01,4.2951,4.330541553
0.80823,1.75,0.00035215,1.86E-01,4.3354,4.376677932
0.95409,1.75,0.00029955,2.20E-01,4.3447,4.385430775
0.83147,1.5,0.00035215,1.89E-01,4.396,4.440448287
0.98085,1.5,0.00029955,2.23E-01,4.4039,4.447790206
1.001,1.99,0.00029955,2.25E-01,4.4493,4.492880333
0.85921,1.99,0.00035215,1.92E-01,4.4685,4.514136372
1.0251,1.75,0.00029955,2.28E-01,4.4997,4.549450108
0.88046,1.75,0.00035215,1.95E-01,4.5204,4.57263308
1.0536,1.5,0.00029955,2.31E-01,4.5603,4.613795662
0.90549,1.5,0.00035215,1.98E-01,4.5826,4.638814803
0.93224,1.99,0.00035215,2.01E-01,4.6494,4.707237463
0.955,1.75,0.00035215,2.03E-01,4.7025,4.767756958
0.98184,1.5,0.00035215,2.06E-01,4.7661,4.836327873
1.0074,1.99,0.00035215,2.09E-01,4.8272,4.899428471
1.0317,1.75,0.00035215,2.11E-01,4.8813,4.961964884
1.0604,1.5,0.00035215,2.14E-01,4.9464,5.032918796
0.91635,1.99,0.00041302,1.84E-01,4.9796,5.066985973
1.0847,1.99,0.00035215,2.17E-01,5.002,5.090970482
0.93877,1.75,0.00041302,1.86E-01,5.0356,5.133197557
1.1105,1.75,0.00035215,2.20E-01,5.0569,5.155498072
0.96521,1.5,0.00041302,1.89E-01,5.1031,5.207990775
1.141,1.5,0.00035215,2.23E-01,5.1229,5.228807614
1.164,1.99,0.00035215,2.25E-01,5.1738,5.28181542
0.99675,1.99,0.00041302,1.92E-01,5.1838,5.294416028
1.1913,1.75,0.00035215,2.28E-01,5.2293,5.348318663
1.0208,1.75,0.00041302,1.95E-01,5.241,5.363024037
1.2236,1.5,0.00035215,2.31E-01,5.2961,5.423963086
1.0491,1.5,0.00041302,1.98E-01,5.3094,5.440645435
1.0794,1.99,0.00041302,2.01E-01,5.3834,5.520895121
1.1049,1.75,0.00041302,2.03E-01,5.4406,5.591875561
1.1352,1.5,0.00041302,2.06E-01,5.5105,5.672299129
1.164,1.99,0.00041302,2.09E-01,5.5776,5.746306821
1.1911,1.75,0.00041302,2.11E-01,5.6355,5.819652808
1.2232,1.5,0.00041302,2.14E-01,5.7058,5.90287128
1.0548,1.99,0.00048348,1.84E-01,5.7319,5.931398911
1.2505,1.99,0.00041302,2.17E-01,5.7666,5.970957344
1.0797,1.75,0.00048348,1.86E-01,5.7916,6.008905997
1.2792,1.75,0.00041302,2.20E-01,5.8251,6.046638687
1.1092,1.5,0.00048348,1.89E-01,5.8643,6.096458719
1.3132,1.5,0.00041302,2.23E-01,5.8961,6.132619966
1.3387,1.99,0.00041302,2.25E-01,5.9503,6.194790302
